,Neighbourhood,Venue,Venue_Category,Venue_Basic_Category,Venue_Restaurant_Count,Venue_Steakhouse_Count,Venue Latitude,Venue Longitude,Neighborhood Latitude,Neighborhood Longitude
72,Alderwood,Alderwood Pool,Pool,Pool,0,0,43.60180197683229,-79.54724725574704,43.6017173,-79.5452325
73,Alderwood,Sir Adam Beck Rink,Skating Rink,Skating,0,0,43.602526494798546,-79.5474551115246,43.6017173,-79.5452325
74,Alderwood,Rexall,Pharmacy,Pharmacy,0,0,43.60216452743958,-79.54537153292875,43.6017173,-79.5452325
75,Alderwood,Pioneer Energy,Gas Station,Gas,0,0,43.59704746430178,-79.54345769441805,43.6017173,-79.5452325
76,Alderwood,Etobicoke Valley Park,Park,Park,0,0,43.60193408779726,-79.55229115067102,43.6017173,-79.5452325
77,Alderwood,Murray's Variety Store,Convenience Store,Convenience,0,0,43.6077238512801,-79.54806331845603,43.6017173,-79.5452325
78,Alderwood,Brownsline Donuts,Donut Shop,Donut,0,0,43.60776022441718,-79.54797651916016,43.6017173,-79.5452325
79,Alderwood,Dollarama,Discount Store,Discount,0,0,43.609409004156184,-79.5476856289529,43.6017173,-79.5452325
80,Alderwood,Shoppes of Alderwood,Shopping Mall,Shopping,0,0,43.610134,-79.54732,43.6017173,-79.5452325
81,Alderwood,Dollarama,Discount Store,Discount,0,0,43.59371975817859,-79.5406357058284,43.6017173,-79.5452325
82,Alderwood,Evans and Brown's Line,Intersection,Intersection,0,0,43.60949161578132,-79.55052314089633,43.6017173,-79.5452325
83,Alderwood,Sav-On Drug Mart,Pharmacy,Pharmacy,0,0,43.60989067411187,-79.54961756159075,43.6017173,-79.5452325
84,Annex,Fresh on Bloor,Vegetarian / Vegan Restaurant,Vegetarian,0,0,43.66675488472059,-79.40349130034014,43.670337700000005,-79.407117
85,Annex,Roti Cuisine of India,Indian Restaurant,Restaurant,1,0,43.67461834990478,-79.40824866273744,43.670337700000005,-79.407117
86,Annex,Bulk Barn,Grocery Store,Grocery,0,0,43.66570828665725,-79.40832293053349,43.670337700000005,-79.407117
87,Annex,Jean Sibelius Square,Park,Park,0,0,43.67142628683921,-79.40883090368688,43.670337700000005,-79.407117
88,Annex,The Madison Avenue Pub,Pub,Pub,0,0,43.667946944171426,-79.40348638003233,43.670337700000005,-79.407117
89,Annex,The Bloor Hot Docs Cinema,Indie Movie Theater,Indie,0,0,43.665499199156656,-79.4103125084796,43.670337700000005,-79.407117
90,Annex,BMV Books,Bookstore,Bookstore,0,0,43.66586,-79.406824,43.670337700000005,-79.407117
91,Annex,Ezra's Pound,Café,Café,0,0,43.67515283323029,-79.40585846415303,43.670337700000005,-79.407117
92,Annex,DAVIDsTEA,Tea Room,Tea,0,0,43.66579011022749,-79.40826968594604,43.670337700000005,-79.407117
93,Annex,Creeds Coffee Bar,Coffee Shop,Coffee,0,0,43.67410020855885,-79.41083780404273,43.670337700000005,-79.407117
94,Annex,Crafty Coyote,Beer Bar,Beer,0,0,43.66559307383268,-79.40862274504491,43.670337700000005,-79.407117
95,Annex,Famoso Neapolitan Pizzeria,Pizza Place,Pizza,0,0,43.66619627664693,-79.40656418036734,43.670337700000005,-79.407117
96,Annex,Napoli Centrale,Pizza Place,Pizza,0,0,43.669391,-79.413028,43.670337700000005,-79.407117
97,Annex,A Nerd's World,Design Studio,Design,0,0,43.670040130615234,-79.41326141357422,43.670337700000005,-79.407117
98,Annex,One Love Vegetarian,Vegetarian / Vegan Restaurant,Vegetarian,0,0,43.66658821356758,-79.41177681464762,43.670337700000005,-79.407117
99,Annex,Eva's Original Chimneys,Ice Cream Shop,Ice,0,0,43.665608421839806,-79.4090342859261,43.670337700000005,-79.407117
100,Annex,The Original Gyro Grill,Greek Restaurant,Restaurant,1,0,43.66662059602154,-79.40554379665828,43.670337700000005,-79.407117
101,Annex,Insomnia Restaurant and Lounge,Restaurant,Restaurant,0,0,43.665179618013326,-79.41096552569321,43.670337700000005,-79.407117
